ts,signal_direction,max_prob,p_up,p_down,price_at_signal,ret_3m,ret_9m,ret_15m,aligned_move_3m,aligned_move_9m,aligned_move_15m,source_file
2025-08-26 14:26:00+05:30,UP,0.9870811104774476,0.9870811104774476,0.0129188979044556,54480.8,0.0010756082876903156,0.00022484985536188896,0.00026156003582913614,0.0010756082876903156,0.00022484985536188896,0.00026156003582913614,signals_sr_overlay_2025-08_clear.csv
2026-02-02 13:51:00+05:30,UP,0.9861034,0.9861034,0.013896595,58404.25,-0.0003561384659507298,-0.001474207784536203,-0.0013089800827850214,-0.0003561384659507298,-0.001474207784536203,-0.0013089800827850214,signals_sr_overlay_2026-02_clear.csv
2026-02-12 14:44:00+05:30,DOWN,0.98434978723526,0.0156502369791269,0.98434978723526,60690.1,-0.0009820382566513904,-0.0006516713599087105,9.309590855842148e-05,0.0009820382566513904,0.0006516713599087105,-9.309590855842148e-05,signals_sr_overlay_2026-02_clear.csv
2025-12-16 09:51:00+05:30,DOWN,0.9843372702598572,0.0156626924872398,0.9843372702598572,59131.4,-4.2278721626749915e-06,-0.0006130414635878738,-0.0003340019008513243,4.2278721626749915e-06,0.0006130414635878738,0.0003340019008513243,signals_sr_overlay_2025-12_clear.csv
2025-07-16 09:57:00+05:30,DOWN,0.984320104122162,0.0156799275428056,0.984320104122162,57043.2,-0.00026383512846396475,5.522130595761555e-05,-0.0004040797150229236,0.00026383512846396475,-5.522130595761555e-05,0.0004040797150229236,signals_sr_overlay_2025-07_clear.csv
2025-03-12 09:54:00+05:30,DOWN,0.984195113182068,0.0158049017190933,0.984195113182068,48156.3,-0.00034263429707016526,-0.0009728737465296507,-0.0013123931863536934,0.00034263429707016526,0.0009728737465296507,0.0013123931863536934,signals_sr_overlay_2025-03_clear.csv
2025-08-14 11:09:00+05:30,DOWN,0.98418128490448,0.0158187467604875,0.98418128490448,55320.8,-0.000367854405576308,0.0004365446631284106,0.00025216555075120186,0.000367854405576308,-0.0004365446631284106,-0.00025216555075120186,signals_sr_overlay_2025-08_clear.csv
2025-11-24 09:32:00+05:30,DOWN,0.9841533303260804,0.0158467143774032,0.9841533303260804,58950.4,-0.0006675103137552679,-0.0004707347193572902,4.919389859952528e-05,0.0006675103137552679,0.0004707347193572902,-4.919389859952528e-05,signals_sr_overlay_2025-11_clear.csv
2025-12-31 10:46:00+05:30,DOWN,0.9840887784957886,0.0159112140536308,0.9840887784957886,59428.8,-0.00011442263683606114,0.00011021592224637943,0.0008564870904341696,0.00011442263683606114,-0.00011021592224637943,-0.0008564870904341696,signals_sr_overlay_2025-12_clear.csv
2025-08-14 11:28:00+05:30,DOWN,0.9840545058250428,0.0159454438835382,0.9840545058250428,55322.6,-0.00036874622667773126,-0.00031632641994410967,-0.0009571133677736963,0.00036874622667773126,0.00031632641994410967,0.0009571133677736963,signals_sr_overlay_2025-08_clear.csv
